model,scenario,num_runs,final_score_mean,final_score_std,final_score_min,final_score_max,hard_constraint_violations_mean,avg_recovery_turns_mean
llama3.2:3b,default,7,25.156556074664365,4.050655344902645,17.27106227106227,29.24070878928096,32.285714285714285,2.947619047619048
llama3.2:3b,disasters_heavy,5,25.0,0.0,25.0,25.0,30.2,0.9857142857142858
llama3:8b,default,5,30.660907978090407,6.058408129407652,22.358368279569895,38.71037284668273,7.8,1.5428571428571427
llama3:8b,disasters_heavy,5,27.78858554385744,3.4434732776666888,25.0,32.666435461380914,15.2,1.2252747252747254
